Movie,Year,budget,runtime,genres,popularity,vote_average,vote_count,Views,Likes,Comments,IMDb_Rating,numVotes,Gross
The Super Mario Bros. Movie,2023.0,100000000,93,"Animation, Family, Adventure, Fantasy, Comedy",410.411,7.775,6743,33790399.0,285229.0,0.0,7.0,267191.0,1362034072.0
Barbie,2023.0,145000000,114,"Comedy, Adventure, Fantasy",1069.34,7.279,5074,88455374.0,904310.0,37341.0,6.8,605130.0,1445638421.0
Guardians of the Galaxy Vol. 3,2023.0,250000000,150,"Science Fiction, Adventure, Action",318.516,8.023,4941,35295118.0,801265.0,39051.0,7.9,426095.0,845555777.0
John Wick: Chapter 4,2023.0,90000000,170,"Action, Thriller, Crime",482.538,7.814,4639,52028301.0,732489.0,29600.0,7.6,375258.0,440157245.0
Spider-Man: Across the Spider-Verse,2023.0,100000000,140,"Animation, Action, Adventure",512.336,8.442,4394,37545479.0,915509.0,27945.0,8.5,451124.0,690615475.0
Ant-Man and the Wasp: Quantumania,2023.0,200000000,125,"Action, Adventure, Science Fiction",173.694,6.431,4009,34798992.0,1014940.0,40156.0,6.0,249573.0,476071180.0
Fast X,2023.0,340000000,142,"Action, Crime, Thriller",1175.267,7.265,3881,42357594.0,400001.0,31469.0,5.7,134568.0,704875015.0
Oppenheimer,2023.0,100000000,181,"Drama, History",463.384,8.256,3766,73045214.0,829634.0,33806.0,8.3,883245.0,972444774.0
Transformers: Rise of the Beasts,2023.0,195000000,127,"Action, Adventure, Science Fiction",616.74,7.492,3270,35742600.0,426726.0,27985.0,6.0,121229.0,438966392.0
The Flash,2023.0,300000000,144,"Action, Adventure, Science Fiction",480.393,6.898,2959,21949292.0,274623.0,23127.0,6.6,231951.0,271333313.0
Elemental,2023.0,200000000,102,"Animation, Comedy, Family, Fantasy, Romance",1008.942,7.757,2467,49800201.0,232867.0,12349.0,7.0,149548.0,496444308.0
Shazam! Fury of the Gods,2023.0,125000000,130,"Comedy, Action, Fantasy",143.169,6.662,2416,21291513.0,225850.0,10857.0,5.9,136866.0,134038006.0
Dungeons & Dragons: Honor Among Thieves,2023.0,151000000,134,"Adventure, Fantasy, Comedy",126.33,7.459,2329,25190915.0,186569.0,13671.0,7.2,258938.0,208177026.0
Evil Dead Rise,2023.0,15000000,96,"Thriller, Horror",188.126,7.006,2292,26487143.0,258206.0,11570.0,6.5,155172.0,147033054.0
The Little Mermaid,2023.0,250000000,135,"Adventure, Family, Fantasy, Romance",353.543,6.536,2148,27786523.0,375357.0,78212.0,3.2,183.0,569626289.0
The Little Mermaid,2023.0,250000000,135,"Adventure, Family, Fantasy, Romance",353.543,6.536,2148,27786523.0,375357.0,78212.0,7.2,171479.0,569626289.0
Meg 2: The Trench,2023.0,129000000,116,"Action, Science Fiction, Horror",1567.273,6.912,2034,48780639.0,318582.0,20353.0,5.0,92238.0,397700317.0
Creed III,2023.0,75000000,116,"Drama, Action",164.985,7.194,1987,19427808.0,200759.0,10866.0,6.7,100072.0,276148615.0
The Pope's Exorcist,2023.0,18000000,103,"Horror, Thriller",196.08,7.144,1971,23748459.0,116191.0,7409.0,6.1,96066.0,76987621.0
Scream VI,2023.0,35000000,123,"Horror, Crime, Thriller",231.85,7.2,1836,22145425.0,176470.0,15483.0,6.4,137279.0,168961389.0
Knock at the Cabin,2023.0,20000000,100,"Thriller, Mystery, Horror",68.135,6.351,1828,26747313.0,41370.0,7404.0,6.1,133705.0,54760947.0
Plane,2023.0,25000000,107,"Action, Adventure, Thriller",95.197,6.997,1753,32117571.0,43287.0,3351.0,6.5,92151.0,74515586.0
Indiana Jones and the Dial of Destiny,2023.0,294700000,155,"Adventure, Action",579.252,6.679,1748,17510100.0,0.0,18991.0,6.5,219054.0,383963057.0
65,2023.0,45000000,92,"Science Fiction, Action, Adventure",85.473,6.122,1653,30311431.0,287420.0,21054.0,5.4,99720.0,60730568.0
Guy Ritchie's the Covenant,2023.0,55000000,123,"War, Action, Thriller",188.559,7.814,1651,25612705.0,135659.0,6295.0,7.5,188496.0,21632392.0
Cocaine Bear,2023.0,32500000,96,"Thriller, Comedy, Crime",97.888,6.213,1449,26043937.0,147847.0,12657.0,5.9,119672.0,88314672.0
No Hard Feelings,2023.0,45000000,104,"Comedy, Romance",298.801,7.166,1401,24857186.0,113135.0,5367.0,6.3,195622.0,87256407.0
Air,2023.0,90000000,112,"Drama, History",38.283,7.385,1384,14459115.0,44277.0,2796.0,7.4,183348.0,90060106.0
Air,2023.0,90000000,112,"Drama, History",38.283,7.385,1384,14459115.0,44277.0,2796.0,7.4,183348.0,5468936.0
Air,2023.0,90000000,112,"Drama, History",38.283,7.385,1384,14459115.0,44277.0,2796.0,5.3,444.0,90060106.0
Air,2023.0,90000000,112,"Drama, History",38.283,7.385,1384,14459115.0,44277.0,2796.0,5.3,444.0,5468936.0
Sisu,2023.0,6200000,91,"Action, War",157.379,7.532,1325,8651287.0,108107.0,7771.0,,,14281199.0
Mission: Impossible - Dead Reckoning Part One,2023.0,291000000,164,"Action, Thriller",401.083,7.74,1171,31903038.0,338395.0,15860.0,7.6,284141.0,567535383.0
Insidious: The Red Door,2023.0,16000000,107,"Horror, Mystery, Thriller",305.896,6.85,1161,26941376.0,154563.0,5512.0,5.5,57909.0,189086877.0
Operation Fortune: Ruse de Guerre,2023.0,50000000,114,"Action, Thriller, Comedy",56.248,6.582,1047,22428306.0,62249.0,1793.0,6.3,100160.0,48983306.0
Blue Beetle,2023.0,120000000,128,"Action, Science Fiction, Adventure",2994.357,7.139,1023,31729525.0,514441.0,30862.0,5.9,108006.0,130788072.0
Renfield,2023.0,65000000,93,"Comedy, Horror, Fantasy",63.941,6.723,1014,48468893.0,81653.0,5823.0,6.4,111387.0,26493921.0
Talk to Me,2023.0,4500000,95,"Horror, Thriller",1458.514,7.214,973,21233286.0,126972.0,6744.0,6.5,82.0,92181735.0
Asteroid City,2023.0,25000000,105,"Comedy, Drama",81.734,6.606,823,19528128.0,55146.0,3130.0,6.4,131112.0,53857743.0
The Last Voyage of the Demeter,2023.0,45000000,119,"Thriller, Horror",307.895,7.318,715,1048004.0,9180.0,524.0,6.1,63323.0,21786275.0
Missing,2023.0,7000000,111,"Thriller, Mystery",27.68,7.531,707,17677295.0,36418.0,2204.0,7.1,67315.0,48767848.0
Gran Turismo,2023.0,60000000,135,"Action, Drama, Adventure",2680.593,8.068,702,19996901.0,203522.0,11000.0,7.1,120008.0,122101055.0
Ruby Gillman: Teenage Kraken,2023.0,70000000,91,"Animation, Family, Fantasy, Comedy",321.777,7.474,677,11196626.0,43053.0,0.0,5.7,12854.0,45528749.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023.0,70000000,100,"Animation, Comedy, Action",484.876,7.328,652,17815392.0,99841.0,8114.0,7.2,72969.0,180513586.0
Asterix & Obelix: The Middle Kingdom,2023.0,72000000,112,"Family, Comedy, Adventure",45.726,4.821,615,1240459.0,13775.0,848.0,5.1,12032.0,46497678.0
Hypnotic,2023.0,70000000,94,"Mystery, Thriller, Science Fiction",149.609,6.5,603,940464.0,4329.0,435.0,5.5,42120.0,16281937.0
Kandahar,2023.0,0,119,"Action, Thriller",708.536,6.866,575,11728347.0,27134.0,1331.0,6.1,40860.0,9387311.0
Beau Is Afraid,2023.0,35000000,179,"Comedy, Adventure, Fantasy",44.044,6.8,527,10836925.0,149525.0,9324.0,6.6,71391.0,11955354.0
A Haunting in Venice,2023.0,60000000,104,"Mystery, Thriller, Crime",147.584,6.786,519,7751513.0,48140.0,2217.0,6.5,130983.0,122290456.0
Sound of Freedom,2023.0,15000000,131,"Action, Drama",1111.036,7.973,503,10969638.0,141533.0,7859.0,7.6,130322.0,250570396.0
The Boogeyman,2023.0,41900000,99,"Horror, Thriller, Mystery",184.621,6.767,415,10738640.0,81485.0,4950.0,5.9,49605.0,67307243.0
Mavka: The Forest Song,2023.0,5000000,99,"Animation, Adventure, Family, Fantasy",206.792,7.375,396,4108338.0,55482.0,1115.0,6.6,6699.0,17897257.0
Strays,2023.0,46000000,93,"Comedy, Adventure",419.527,7.531,389,4580750.0,29642.0,2488.0,6.3,35210.0,36071267.0
Mummies,2023.0,12300000,88,"Animation, Comedy, Family, Adventure, Fantasy",71.229,7.193,373,1493525.0,7938.0,0.0,5.9,9951.0,54475970.0
